1,100,3.24,3.09944e-05
1,1000,3.108,4.19617e-05
1,10000,3.1196,0.000232935
1,100000,3.1426,0.00217199
1,1000000,3.1451,0.0212801
1,10000000,3.14124,0.206162
1,100000000,3.14144,1.99889
1,1000000000,3.1416,19.6349
2,100,3.28,3.91006e-05
2,1000,3.176,4.19617e-05
2,10000,3.1416,0.00013113
2,100000,3.1516,0.00105691
2,1000000,3.14277,0.0103459
2,10000000,3.14132,0.100926
2,100000000,3.14114,1.00586
2,1000000000,3.14163,10.1157
4,100,3.36,4.91142e-05
4,1000,3.264,5.60284e-05
4,10000,3.1072,9.39369e-05
4,100000,3.14528,0.000575066
4,1000000,3.1393,0.00526404
4,10000000,3.14064,0.0532949
4,100000000,3.14117,0.529934
4,1000000000,3.14149,5.27367
6,100,2.8,8.2016e-05
6,1000,3.088,8.89301e-05
6,10000,3.0736,0.000111818
6,100000,3.14616,0.000500917
6,1000000,3.14176,0.00443006
6,10000000,3.14264,0.0467069
6,100000000,3.14149,0.430492
6,1000000000,3.14152,4.17618
8,100,3.04,8.39233e-05
8,1000,3.136,0.000113964
8,10000,3.1008,0.000195026
8,100000,3.13728,0.000469923
8,1000000,3.13968,0.0035491
8,10000000,3.13903,0.034415
8,100000000,3.14151,0.342745
8,1000000000,3.14149,3.43701
12,100,3.36,0.000149012
12,1000,2.896,0.000155926
12,10000,3.1008,0.000165224
12,100000,3.1624,0.000473022
12,1000000,3.1452,0.00451493
12,10000000,3.13996,0.039866
12,100000000,3.14105,0.360618
12,1000000000,3.14194,3.63584
16,100,2.08,0.000168085
16,1000,2.912,0.000166893
16,10000,3.0592,0.000180006
16,100000,3.13856,0.000444174
16,1000000,3.1447,0.00401688
16,10000000,3.14121,0.040319
16,100000000,3.14149,0.351449
16,1000000000,3.14192,3.4475
32,100,4,0.000342131
32,1000,3.104,0.000330925
32,10000,3.0464,0.000351191
32,100000,3.13216,0.000467062
32,1000000,3.1465,0.00346994
32,10000000,3.14228,0.0341349
32,100000000,3.14159,0.273876
32,1000000000,3.14159,2.47302
