1,100,0.000636101
1,1000,0.00671697
1,10000,0.063689
1,100000,0.625067
1,1000000,6.00993
2,100,0.00029707
2,1000,0.00324512
2,10000,0.0306032
2,100000,0.304021
2,1000000,3.0314
4,100,0.000241041
4,1000,0.0019331
4,10000,0.0158691
4,100000,0.157754
4,1000000,1.56263
6,100,0.000359058
6,1000,0.00129318
6,10000,0.0114841
6,100000,0.10687
6,1000000,1.05795
8,100,0.000265837
8,1000,0.00101495
8,10000,0.00920796
8,100000,0.0820789
8,1000000,0.806277
12,100,0.000222206
12,1000,0.00102091
12,10000,0.00785303
12,100000,0.075408
12,1000000,0.76048
16,100,0.000298023
16,1000,0.001122
16,10000,0.00745702
16,100000,0.0753181
16,1000000,0.698838
32,100,0.000699043
32,1000,0.00107598
32,10000,0.00757909
32,100000,0.0714228
32,1000000,0.690243
